中小企業財管系列沙龍-數位布局,疫情期間不少企業飽嚐應變速度過慢的苦頭，包含智慧零售布局、影響產線及人力調度的ERP系統、智慧工廠(辦公室)等軟硬體不足的困境，以及缺乏高素質專業經理人團隊或有能力的二代參與危機應變、決策等隱形傷害，企業規劃數位生產及經營，已然為刻不容緩的課題。,#財務 #中小企業,https://www.careernet.org.tw/2023dm/07/14476feyeq.png,https://www.careernet.org.tw/n/Class-14476.html,課程
NPO Training｜只要兩堂課，一手掌握雇主品牌經營,NPO/NGO 組織需要找到認同組織理念的夥伴，才能長期深耕推動共同目標，本次課程期許幫助參與者暸學習符合趨勢的雇主品牌經營，也暸解如何分析人力市場以制定合適的招募策略，有效找到適合非營利組織的人才！,#NPO #品牌經營 #台北市,https://sme.moeasmea.gov.tw/startup/upload/event/20230707063757hap.jpg,https://www.accupass.com/go/NPOTraining2307,課程
【Skill-up Seminar】新創代理、經銷、授權-暨海外布局策略,"新創事業即使有再好的產品與技術服務，但若不諳代理、經銷、授權及海外布局策略，就踏足國際市場，將面臨許多挑戰。

本次課程特別邀請 #懷鼎法律事務所胡高誠律師，為 #新創企業 量身訂做課程，介紹代理、經銷契約、授權行為之商業法律實務，以及新創海外布局應注意事項。讓新創團隊一次了解切入國際市場的所有關鍵要素！省去摸索時間，一次就成功跨足海外市場！",#經銷 #布局策略 #經濟部中小企業處,https://sme.moeasmea.gov.tw/startup/upload/event/20230719020138zvz.jpg,https://stli.iii.org.tw/news-event.aspx?no=16&d=1222,課程
中小企業訂單違約法律責任&勞工執行業務侵害他人權利,本次講座特別邀請經濟部中小企業榮譽律師，一次帶您了解訂單違約的法律責任以及勞工執行業務侵害他人權利！,#法律 #高雄市,https://www.careernet.org.tw/2023dm/07/14486ridir.jpg,https://www.careernet.org.tw/n/Class-14486.html,課程
電商經營-吸睛廣告圖片製作-配色篇,配色重點：傳達印象、引人注目、提升效果,#電商經營 #廣告製作,https://images.smelearning.org.tw/images/img20220516160948716.jpg,https://www.smelearning.org.tw/class.php?course=16815&utm_source=sme&utm_medium=index&utm_campaign=202002C01#Course_Introduction,課程
溫室氣體盤查一日體驗班(限製造業在職員工，限額免費),"本課程將協助學員
1.快速了解如何進行組織碳盤查
2.ISO 14064-1國際標準重點概要
3.盤查實務演練
4.政府資源挹注",#台中市 #體驗班,https://sme.moeasmea.gov.tw/startup/upload/event/20230626054956cvc.png,https://reurl.cc/QXe7Z9,課程
電商網拍必學拍出吸睛好賣相,網路上的商品美食照片拍得好漂亮，有沒有可以用手機就能拍出好照片的方法？有的！這堂課專門為各位想拍商品美食的你設計?,#攝影 #電商經營,https://www.careernet.org.tw/2023dm/07/14451rajum.png,https://www.careernet.org.tw/n/Class-14451.html,講座
創業計畫書撰寫與政府資源,如何寫一份好的計畫書？在創業前、中、後期又各有哪些政府資源可以申請呢？,#計畫書撰寫 #政府資源,https://sme.moeasmea.gov.tw/startup/upload/event/20230711020310twq.jpg,https://www.careernet.org.tw/n/Class-14475.html,講座
【精實創業從0到1】,「你想創業嗎？」 創業起頭難，創辦人以自身實務經歷為出發點為大家解惑，陪伴大家闖蕩創業路，邁向創業成功！,#台北市,https://sme.moeasmea.gov.tw/startup/upload/event/20230616024649ake.jpg,https://sme.moeasmea.gov.tw/startup/modules/calendar/detail/index.php?sId=6409,講座
電子商務經營方程式,電子商務模式建立、銷售心法大公開,#電商經營 #商業模式,https://beboss-ws.wda.gov.tw/001/Upload/399/relpic/9127/7808/7f1f4e3a-63bf-43f8-893c-a706b79a31c7.jpg,https://beboss.wda.gov.tw/ClassSearchData.aspx?n=16&sms=9042&asn=A17442EBC7A79156&bsn=A17442EBC7A79156,講座
